timestamp,server_latency_ms,tx_speed_kbs,rx_speed_kbs,latency_ping_ms,cpu_usage_percent,mem_usage_percent,ip_local,ip_public,ping_status
2025-10-12 16:11:11.486514,651.3271331787109,3.92,4.26,54.477,2.8,20.5,127.0.1.1,140.213.33.9,OK
2025-10-12 16:11:32.157469,586.2894058227539,2.21,2.21,52.494,3.6,18.1,127.0.1.1,112.215.151.233,OK
2025-10-12 16:11:35.340784,609.2734336853027,4.52,4.98,52.35,2.8,18.1,127.0.1.1,140.213.33.9,OK
