epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.087,1.402,2.44672,0.93895,0.77634,0.7861,0.83675,0.46431,1.18843,2.58377,0.89898,0.000666363,0.000666363,0.000666363
2,496.581,1.33898,1.59012,0.94152,0.81367,0.82086,0.88036,0.47226,1.23934,1.50549,0.91116,0.00126704,0.00126704,0.00126704
3,737.6,1.31236,1.17553,0.92091,0.82593,0.82887,0.88722,0.49762,1.1999,1.15572,0.90747,0.00180173,0.00180173,0.00180173
4,977.53,1.29731,0.99348,0.91985,0.84059,0.82799,0.89359,0.48901,1.25057,0.97137,0.92214,0.001703,0.001703,0.001703
